LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID7464 → ID11802,100,7464,11802,12.164241285370242,0.33044260311886786,0.10371335550474443,0.8297068440379555,1052.0,259.5437232327803,53.654638344359284,0.0,
ID7177 → ID6694,100,7177,6694,0.15229802956941813,0.05263600650476419,0.04674098981312967,0.37392791850503737,620.0,347.67672874863365,46.07361166481159,0.0,
ID7032 → ID8515,100,7032,8515,0.0026564612042860422,0.005306386375070876,0.20152510234973633,1.6122008187978907,732.0,330.8121417916081,47.12188917842414,0.0,
ID8000 → ID7677,100,8000,7677,0.012196200517346484,0.006166543511359477,0.17580791997642325,1.406463359811386,924.0,298.25458004326237,46.49557679624504,0.0,
ID6951 → ID8586,100,6951,8586,1.0636065938949189,0.0012018836868351735,0.14516467771318445,1.1613174217054756,1028.0,263.82507754335495,53.07190840549673,0.0,
ID7830 → ID8849,100,7830,8849,70.07757366295402,0.03274723579827275,0.20032509744211474,1.602600779536918,964.0,276.7107390933314,48.84132047772341,0.0,
ID6283 → ID6403,100,6283,6403,0.5164391243096107,0.03235572040251113,0.2750575540799317,2.2004604326394537,748.0,327.2798537076211,47.072922733023205,0.0,
ID6648 → ID7389,100,6648,7389,17.436236848306613,0.34429167381806497,0.11649903993295549,0.9319923194636439,564.0,353.53324466488857,44.927261368627285,0.0,
ID8791 → ID8619,100,8791,8619,0.06402105194056963,0.053965775886540335,0.0837758568982003,0.6702068551856024,860.0,309.25232752473516,46.432594861967374,0.0,
ID3282 → ID3470,100,3282,3470,1.9302113458074028,NaN,0.17366505773540244,1.3893204618832196,420.0,382.664718000323,46.93192597698349,0.0,
ID8859 → ID8918,100,8859,8918,0.06978924991484027,0.03244639347262044,0.15410229793752417,1.2328183835001933,820.0,312.6562638888165,46.449341284140125,0.0,
ID7987 → ID8651,100,7987,8651,1.0608486051829984,0.045560420182569325,0.32689029342311293,2.6151223473849035,988.0,271.8018420833508,49.61581473388269,0.0,
ID5631 → ID5488,100,5631,5488,3.927585759713976,0.07394579947884113,0.4273934654336324,3.419147723469059,524.0,357.8342192932032,48.064883906441864,0.0,
ID6413 → ID5760,100,6413,5760,0.10953172362659638,0.032310689758235644,0.18011825714723673,1.4409460571778938,700.0,337.09089156584764,46.99369385587558,0.0,
ID7659 → ID8404,100,7659,8404,0.053456518776146704,0.010750313953471043,0.16910947967739356,1.3528758374191485,884.0,305.6849124773329,46.64367090927206,0.0,
ID8849 → ID9182,100,8849,9182,6.1821333927958575,0.02405789471850335,0.29792882936426823,2.383430634914146,972.0,274.788271617973,49.332204564213185,0.0,
ID4597 → ID2830,100,4597,2830,2.8015266397330763,0.054137871175270524,0.11958446086777591,0.9566756869422073,460.0,373.9363053459225,47.29280095529532,0.0,
ID5542 → ID8363,100,5542,8363,3.5485567006145757,0.04901446308230801,0.2079460682876361,1.6635685463010887,540.0,352.1135611204481,49.73850703022002,0.0,
ID7389 → ID5697,100,7389,5697,3.52094205918583,0.016177450588670254,0.15428044186575418,1.2342435349260334,572.0,352.550657397418,45.37765750969503,0.0,
ID2830 → ID4560,100,2830,4560,0.1055430415044755,0.010771678922419065,0.23152907135053089,1.852232570804247,468.0,372.5347028002071,47.361460326679776,0.0,
ID6403 → ID6363,100,6403,6363,0.00945884461955117,0.009210434015220084,0.23366569235405635,1.8693255388324508,756.0,325.2662764532462,46.78881802065807,0.0,
ID7151 → ID9116,100,7151,9116,0.0841555308847274,0.02325083763771762,0.21040015494412623,1.6832012395530098,772.0,321.7156053160163,46.56733513856692,0.0,
ID5822 → ID7177,100,5822,7177,0.06501108076261619,0.030868320738117582,0.09783655662822861,0.7826924530258289,612.0,348.24168812046776,46.123415500308916,0.0,
